altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,horaso2max_estacion29,horaso2max_estacion38,so2max_estacion38,target
254,13.2,0.0,5.7,74,20.7,54,15.0,1.4,7.5,144,9.5,990.2,15,984.4,17,20.0,4.0,179.0,719.0
254,12.4,22.0,7.1,33,17.6,34,14.0,4.7,17.5,90,5.1,984.4,16,967.9,18,2.0,12.0,594.0,52.0
254,9.8,0.0,5.8,7,13.9,53,27.0,4.4,17.2,70,9.3,981.9,7,969.1,9,19.0,19.0,533.0,435.0
254,11.2,0.0,6.3,82,16.0,56,28.0,1.9,11.4,88,1.7,989.4,6,981.8,1,10.0,0.0,1013.0,1126.0
254,15.2,0.9723706651506548,9.4,38,21.1,61,99.0,5.0,16.1,71,9.3,994.6,7,986.9,7,4.0,3.0,805.0,597.0
254,16.4,0.0,11.9,25,20.9,69,31.0,3.3,11.9,118,9.2,997.3,14,994.9,18,21.0,21.0,604.0,405.0
254,16.5,0.0,7.1,66,25.9,32,32.0,1.9,6.7,52,10.4,996.6,14,992.0,15,8.0,20.0,569.0,446.0
254,19.5,0.0,12.0,70,27.0,55,29.0,3.9,9.7,3,10.4,993.0,16,987.3,18,23.0,21.0,603.0,525.0
254,17.0,0.0,8.4,66,25.6,66,30.0,1.7,14.7,145,9.3,988.7,20,983.3,18,11.0,8.0,2964.0,2361.0
254,13.8,0.2,8.7,25,18.9,62,31.0,7.8,20.0,73,5.8,988.2,11,985.1,5,0.0,12.0,36.0,367.0
254,12.2,0.0,8.3,64,16.0,12,31.0,8.3,17.2,115,3.6,997.6,7,987.2,9,17.0,12.0,39.0,394.0
254,14.5,0.0,8.4,68,20.6,31,31.0,4.7,10.0,122,10.3,1000.3,15,995.8,18,19.0,19.0,436.0,443.0
254,14.9,0.0,8.3,81,21.5,31,29.0,2.8,9.7,130,10.6,998.4,20,993.5,15,21.0,21.0,864.0,635.0
254,13.9,0.0,5.9,81,21.9,66,15.0,3.1,9.2,135,10.7,994.6,16,989.9,15,1.0,3.0,5841.0,2556.0
254,14.3,0.0,5.4,64,23.2,56,17.0,0.8,5.6,78,10.7,993.3,14,989.7,18,2.0,3.0,2126.0,1084.0
254,15.3,0.0,9.1,64,21.5,55,30.0,4.7,12.8,27,10.6,993.0,14,988.3,18,23.0,12.0,389.0,422.0
254,16.0,0.0,9.3,68,22.7,25,30.0,2.5,9.4,122,10.8,989.8,16,983.9,15,20.0,20.0,694.0,39.0
254,15.8,0.0,9.2,74,22.4,33,99.0,3.1,13.9,71,10.8,985.6,14,981.7,18,10.0,11.0,36.0,415.0
254,13.1,0.0,9.0,48,17.2,32,31.0,5.8,14.4,136,7.2,986.5,14,983.0,13,8.0,20.0,299.0,382.0
254,11.6,0.2,6.0,63,17.1,40,28.0,4.2,16.1,61,2.9,986.0,20,976.3,18,15.0,19.0,634.0,523.0
254,9.3,0.6,4.7,64,13.9,61,29.0,3.3,13.9,103,9.2,982.8,7,978.4,13,20.0,20.0,412.0,488.0
254,9.2,0.8,4.3,81,14.0,40,32.0,1.9,9.7,124,4.5,986.6,19,981.9,14,15.0,7.0,576.0,548.0
254,8.1,7.4,6.4,74,9.8,67,1.0,3.1,13.3,34,0.0,986.9,7,979.8,0,21.0,21.0,47.0,547.0
254,11.8,1.2,6.0,68,17.5,56,14.0,3.6,11.1,92,8.2,988.1,15,983.6,18,19.0,11.0,303.0,429.0
254,12.4,1.8,8.9,85,16.0,18,99.0,1.9,8.3,71,4.4,993.8,7,985.0,10,15.0,12.0,599.0,587.0
254,13.6,0.0,6.7,44,20.5,68,30.0,1.7,6.1,116,10.1,997.1,19,993.5,9,22.0,12.0,54.0,908.0
254,15.0,0.0,6.7,68,23.2,32,14.0,0.8,5.6,53,10.9,997.5,15,992.9,18,17.0,21.0,54.0,814.0
254,15.6,0.0,7.5,66,23.6,56,12.0,3.3,11.1,32,8.9,994.8,16,989.4,13,9.0,1.0,2661.0,267.0
254,16.0,3.8,9.8,25,22.1,62,34.0,3.1,9.7,87,5.2,991.2,16,985.3,19,2.0,9.0,524.0,1048.0
254,13.2,0.0,9.2,4,17.1,67,35.0,5.6,15.0,135,10.2,990.7,6,986.4,10,0.0,0.0,581.0,59.0
254,12.2,0.0,8.1,44,16.3,56,32.0,7.5,18.9,88,11.0,993.1,7,989.0,1,13.0,21.0,265.0,365.0
254,13.2,0.0,5.8,64,20.5,33,30.0,2.5,10.6,44,11.0,994.3,15,990.8,15,10.0,21.0,4.0,44.0
254,15.2,0.0,10.8,64,19.6,59,30.0,6.9,17.2,22,11.2,993.9,19,991.3,15,9.0,12.0,311.0,423.0
254,13.8,0.0,8.6,64,19.0,23,32.0,6.7,17.5,143,9.6,992.9,19,988.9,18,11.0,12.0,355.0,372.0
254,15.2,0.0,10.4,38,20.1,53,32.0,7.8,17.5,17,11.3,991.4,16,986.3,18,12.0,12.0,317.0,398.0
254,15.5,0.0,8.1,64,22.9,71,31.0,3.1,10.3,44,11.4,991.4,11,988.0,15,16.0,21.0,546.0,522.0
254,16.2,0.0,6.6,64,25.8,71,13.0,2.5,7.8,102,11.4,991.5,15,988.0,13,9.0,8.0,1367.0,1951.0
254,16.4,0.0,6.7,64,26.0,71,13.0,2.8,7.8,68,11.4,993.9,7,990.9,13,5.0,0.0,588.0,844.0
254,17.4,0.0,8.4,64,26.5,25,99.0,1.4,6.4,117,11.3,994.9,14,990.2,15,7.0,3.0,1974.0,889.0
254,18.0,0.0,11.7,44,24.2,61,32.0,5.6,13.9,74,11.3,993.1,15,988.7,19,2.0,3.0,269.0,375.0
254,17.8,0.0,9.8,64,25.7,64,30.0,2.2,9.7,25,11.4,991.6,15,986.3,15,17.0,17.0,645.0,577.0
254,18.9,0.0,9.7,40,28.1,61,32.0,1.9,8.1,66,11.3,988.0,14,983.5,15,2.0,9.0,296.0,403.0
254,20.6,0.0,13.2,44,28.1,31,27.0,3.1,14.7,57,11.2,988.3,7,983.5,13,12.0,10.0,343.0,478.0
254,16.2,0.0,11.8,41,20.7,71,31.0,7.5,18.6,99,10.4,993.0,7,988.3,10,0.0,22.0,208.0,347.0
254,17.2,0.0,10.6,40,23.9,25,33.0,4.2,15.0,1,11.0,993.4,9,988.1,6,13.0,21.0,235.0,38.0
254,18.7,0.0,11.4,38,26.0,68,32.0,3.1,12.2,124,11.6,989.6,16,984.2,15,7.0,17.0,34.0,399.0
254,17.4,0.0,11.6,64,23.1,22,32.0,6.9,16.7,108,11.3,987.9,14,984.1,13,23.0,23.0,275.0,513.0
254,15.5,0.0,9.6,64,21.4,69,32.0,4.7,15.3,44,11.2,992.0,7,987.3,13,1.0,20.0,29.0,399.0
254,14.9,0.0,8.5,64,21.3,22,15.0,2.8,9.2,95,11.9,995.8,7,991.7,13,21.0,22.0,576.0,691.0
254,13.6,0.0,5.3,64,21.9,56,11.0,3.1,10.6,112,11.9,997.6,15,993.8,19,1.0,9.0,105.0,724.0
254,14.5,0.0,4.4,40,24.6,55,14.0,1.4,5.8,105,11.3,996.0,16,988.2,19,23.0,2.0,569.0,871.0
254,16.8,0.0,7.0,68,26.6,65,15.0,1.1,5.3,122,12.0,989.5,16,984.4,19,3.0,4.0,2924.0,1284.0
254,18.4,0.0,7.8,64,28.9,71,13.0,1.7,10.8,144,8.9,986.2,14,980.4,18,9.0,7.0,1415.0,2974.0
254,17.0,5.0,11.8,73,22.2,21,31.0,2.2,14.7,32,2.1,981.4,16,975.0,12,2.0,2.0,625.0,643.0
254,10.8,0.0,7.6,41,13.9,34,30.0,7.8,18.3,6,5.0,984.1,3,977.5,0,8.0,14.0,253.0,342.0
254,11.0,0.0,6.4,25,15.6,24,33.0,6.7,16.7,95,9.3,988.9,7,982.5,7,9.0,11.0,317.0,361.0
254,11.2,0.0,4.1,68,18.2,33,31.0,2.8,9.7,69,11.5,988.9,16,984.1,19,19.0,18.0,445.0,531.0
254,10.6,0.0,4.0,38,17.2,62,15.0,2.2,8.1,76,2.6,985.1,16,980.1,19,6.0,17.0,514.0,882.0
254,14.0,0.8,7.4,25,20.6,34,33.0,3.9,16.1,87,1.3,985.8,7,976.4,11,3.0,3.0,516.0,616.0
254,11.4,0.0,4.2,63,18.6,54,32.0,2.5,10.3,138,11.9,990.7,15,985.8,10,22.0,21.0,383.0,448.0
254,15.0,0.0,8.5,48,21.4,54,32.0,3.3,9.2,104,5.2,990.5,11,987.2,18,9.0,1.0,974.0,542.0
