fecha,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,horaso2max_estacion29,horaso2max_estacion38,so2max_estacion38,target
451,254,30.4,0.0,21.8,38,39.0,33,15.0,3.3,11.7,89,13.3,986.0,7,981.7,15,13,6,34.0,357.0
502,254,30.0,0.0,22.5,38,37.5,56,13.0,4.2,12.8,111,10.2,989.9,4,984.1,13,2,20,294.0,381.0
65,254,28.8,0.0,21.4,38,36.3,66,23.0,2.5,11.4,87,8.7,989.1,16,985.2,15,17,9,534.0,49.0
1500,254,29.7,0.0,21.4,63,38.0,25,99.0,1.9,5.8,71,13.2,987.4,9,983.6,13,13,7,463.0,485.0
53,254,31.4,0.0,22.5,63,40.2,25,13.0,1.4,8.1,26,11.6,987.9,11,984.2,18,13,19,315.0,38.0
570,254,30.0,0.0,21.3,64,38.7,32,30.0,3.9,14.7,133,13.1,991.1,11,985.7,18,12,0,507.0,406.0
425,254,26.4,0.0,19.5,38,33.4,31,29.0,4.2,15.6,28,12.0,990.3,14,984.9,19,14,21,225.0,346.0
443,254,24.6,26.0,19.0,61,30.2,69,28.0,3.1,15.0,68,4.4,988.6,11,981.8,19,2,8,282.0,353.0
531,254,24.6,0.0,19.0,43,30.3,33,33.0,2.5,12.5,27,6.2,984.4,5,979.7,18,16,3,311.0,392.0
479,254,26.2,0.0,19.4,38,33.1,53,29.0,3.3,15.8,53,11.6,980.6,16,975.1,18,19,22,212.0,368.0
442,254,22.8,0.6,17.1,25,28.4,21,29.0,5.3,20.8,120,11.4,979.9,7,973.2,18,10,6,192.0,352.0
359,254,20.0,0.0,15.0,25,25.1,17,32.0,3.3,12.2,145,9.5,983.5,4,978.3,19,19,6,258.0,313.0
418,254,18.0,0.0,12.6,38,23.5,22,34.0,5.3,13.1,17,8.9,991.2,4,983.1,9,8,14,228.0,344.0
319,254,17.8,0.0,13.6,17,22.0,26,33.0,7.2,18.9,143,11.3,995.7,4,991.1,10,3,21,271.0,296.0
331,254,20.4,0.0,14.1,45,26.8,55,32.0,6.9,15.8,27,13.3,995.6,16,991.3,18,1,16,219.0,304.0
41,254,24.6,0.0,16.6,38,32.6,16,31.0,3.3,10.6,59,13.3,993.8,11,988.2,15,4,0,296.0,33.0
547,254,27.0,0.0,18.3,40,35.8,55,14.0,3.3,12.8,56,13.2,989.2,16,983.1,19,9,0,426.0,399.0
408,254,27.6,0.8,19.3,38,35.9,71,11.0,4.2,10.8,22,13.0,987.3,4,981.8,15,15,19,261.0,339.0
1559,254,25.6,0.0,21.4,81,29.9,38,13.0,1.7,9.7,123,2.3,989.1,14,984.7,3,12,14,275.0,553.0
1581,254,27.2,0.0,19.9,37,34.6,26,15.0,3.1,15.0,99,4.2,989.3,11,983.7,6,9,7,364.0,588.0
47,254,25.0,22.6,19.0,3,31.1,3,21.0,2.2,12.8,135,8.1,987.1,16,981.6,11,3,4,267.0,37.0
496,254,25.5,0.0,18.4,70,32.6,38,31.0,3.1,11.4,20,12.5,985.0,11,981.0,6,9,12,272.0,375.0
420,254,24.4,0.0,18.6,38,30.3,53,31.0,4.2,14.7,95,11.2,985.8,14,981.9,13,0,0,241.0,345.0
539,254,26.8,0.0,18.3,70,35.3,17,99.0,2.2,8.9,71,12.7,987.0,14,983.2,18,2,7,324.0,397.0
455,254,28.6,0.0,21.6,38,35.6,33,32.0,3.9,11.1,117,12.7,989.4,4,985.5,10,9,2,27.0,359.0
439,254,27.3,0.0,19.8,63,34.8,32,30.0,4.4,15.8,40,12.2,990.2,9,985.4,18,12,6,267.0,351.0
384,254,24.6,0.0,18.3,37,30.8,54,29.0,6.1,15.0,119,12.7,990.1,14,986.3,18,5,6,206.0,326.0
87,254,25.4,0.0,17.7,38,33.1,65,31.0,3.6,14.2,41,12.8,990.7,14,986.5,13,9,6,223.0,115.0
1483,254,28.2,0.0,19.1,40,37.2,68,15.0,3.1,10.0,54,12.6,991.0,9,985.2,19,9,7,315.0,471.0
54,254,28.6,0.0,22.0,38,35.2,23,13.0,4.7,12.2,18,8.9,988.3,9,982.7,18,1,6,326.0,39.0
468,254,28.2,1.4,21.9,38,34.5,34,14.0,5.3,18.1,143,9.3,985.9,11,979.2,15,14,8,326.0,365.0
499,254,29.1,0.0,21.5,41,36.7,53,16.0,4.2,11.7,129,11.1,983.4,9,978.5,19,10,0,389.0,377.0
1624,254,25.0,0.0,18.6,25,31.4,66,31.0,4.7,15.8,144,12.0,985.0,11,980.3,18,9,4,243.0,665.0
488,254,24.4,0.0,17.8,64,30.9,57,30.0,3.9,11.9,85,11.6,983.4,20,979.1,18,12,3,394.0,373.0
563,254,26.9,0.0,19.0,38,34.8,17,31.0,1.9,13.3,101,12.2,987.7,7,981.8,18,13,9,474.0,404.0
529,254,25.3,0.0,18.2,66,32.4,55,33.0,3.9,14.7,84,12.1,990.1,11,985.4,18,13,0,269.0,388.0
